BatchID,CropType,FarmLocation,SoilMoisture%,TemperatureC,Rainfallmm,Fertilizerkgperha,Yieldtonnesperha,PestRiskScore,HarvestRobotUptime%,HarvestDate,StorageTemperatureC,Humidity%,SpoilageRate%,GradingScore,PredictedShelfLifedays,StorageDays,ProcessType,PackagingType,PackagingSpeedunitspermin,DefectRate%,MachineryUptime%,TransportMode,TransportDistancekm,FuelUsageLper100km,DeliveryTimehr,DeliveryDelayFlag,SpoilageInTransit%,RetailInventoryunits,SalesVelocityunitsperday,DynamicPricingIndex,WastePercentage%,HouseholdWastekg,RecipeRecommendationAccuracy%,SatisfactionScore010,WasteType,SegregationAccuracy%,UpcyclingRate%,BiogasOutputm3,minprice,maxprice,modalprice,marketname,latitude,longitude
FarmAB00001,lettuce,FarmAField1,53.65191151,23.96848286,195.9021057,236.0529142,8.61179025,14.19498603,96.24589268,2023-02-05,7.935109459,91.35524436,3.226090889,A,21.89603113,11.72438072,Freezing,Plastic,496.0068943,1.115798004,98.35784364,Ship,1291.959519,43.15530227,34.03897236,0,0.563566356,660.1979959,232.6292573,1.336117703,4.613619191,0.837455445,98.98717339,9.31732271,Packaging,83.10339631,66.38681395,77.04472211,493,1455,838,KR Market,12.96320461,77.59322235
FarmAB00002,tomato,FarmAField2,40.98887172,34.88914925,35.06605398,220.2598568,8.380357477,18.18305643,98.12198283,2023-02-14,6.460116937,83.17560241,1.764488999,A,16.06792417,4.643866656,Drying,Plastic,386.2488145,1.355090458,98.92719477,Train,714.1781248,24.75659553,16.62179068,0,1.918002018,3801.818365,318.8211375,1.321388363,0.538047312,0.736377818,92.31401793,9.863109829,Organic,84.21385759,37.85189229,33.73028365,795,2487,1390,Yeshwanthpur Market,13.01880528,77.49152974
FarmAB00003,corn,FarmAField3,52.44973703,18.51850505,3.432220366,109.3766178,8.754298318,23.8286835,96.11034869,2023-02-14,2.389918457,90.64801914,3.347198309,A,16.14477286,5.023351663,Canning,Aluminum,382.993874,1.192144171,97.48537799,Truck,189.8381833,22.37467374,27.80950196,0,11.48320126,9450.040969,131.7079683,1.343326168,0.759343495,4.86538399,81.53810539,9.641962035,Packaging,86.03353702,66.41852306,94.15768527,703,1748,1114,Nelamangala Market,13.10392926,77.38494798
FarmAB00004,tomato,FarmAField1,45.31707499,15.36150727,152.6728846,150.0557232,8.200901467,3.200977503,95.88038886,2023-03-14,4.409481419,77.45936077,1.628626243,B,23.11292128,10.20743015,Fresh,Aluminum,477.6407388,0.280223916,97.23673923,Air,848.776345,48.51068067,27.88692792,0,0.000174521,6453.170533,355.6758068,0.98509466,7.991140896,3.796462535,93.99903852,9.133210518,Organic,84.92837961,51.441179,52.97139661,809,2480,1474,KR Market,12.96079231,77.58119889
FarmAB00005,tomato,FarmAField2,68.86848382,24.8778743,161.3825954,169.4287227,9.093002721,25.5218238,95.85072314,2023-03-20,7.026954412,90.99867912,6.72361925,A,5.395527294,15.33081734,Freezing,Cardboard,141.3213654,1.323216475,97.51295244,Air,656.8741154,15.31021498,5.664851413,0,6.248487427,6747.643572,219.5246535,0.833628396,2.613113995,4.838807326,74.95054254,9.314060996,Mixed,81.66423465,21.61307171,73.23884466,785,2458,1426,Yeshwanthpur Market,13.01122157,77.50815466
FarmAB00006,rice,FarmAField3,63.95655297,18.57645418,69.26086422,70.72283042,7.540201817,22.37923577,97.06069473,2023-04-17,3.383415175,89.3205695,1.393546693,B,13.52725061,12.77045728,Drying,Cardboard,304.4974842,0.586827819,97.13070355,Ship,1370.385247,49.92372995,55.729734,0,7.837652716,6359.593321,226.8473023,1.291558203,5.985471296,2.198702433,70.8834469,9.796772933,Packaging,81.70840865,11.72789101,92.41077159,523,1444,833,Nelamangala Market,13.10479768,77.39796125
FarmAB00007,corn,FarmAField1,58.86918085,22.32937569,92.93476259,182.0925303,9.089504399,12.25554879,98.90216526,2023-04-19,6.983855107,75.75134208,7.686244412,C,25.46767643,6.649745916,Canning,Cardboard,490.8410218,0.560169887,97.54035642,Ship,1231.269536,38.68874546,31.15531023,0,0.8195163,2070.022176,328.167939,0.951294113,6.453320424,1.391842408,75.9290028,8.799037569,Packaging,83.67173889,35.39275203,97.5179976,720,1738,1156,KR Market,12.97345165,77.5905788
FarmAB00008,corn,FarmAField2,39.43939679,29.88341046,129.9547365,159.0839579,8.234983643,27.98814201,96.83595595,2023-04-22,2.722032572,73.28337816,3.327258929,B,20.08048526,9.176406373,Canning,Cardboard,124.3823499,0.282108313,96.79936883,Ship,760.95777,43.99642548,59.55259208,0,14.59617244,4241.505255,468.7775045,0.683442196,6.864186168,3.991465986,79.87193513,8.653589412,Packaging,80.96062457,48.26874298,83.32043566,663,1835,1042,Yeshwanthpur Market,13.01608893,77.50995925
FarmAB00009,corn,FarmAField3,40.24273291,29.41879849,9.611784839,250.5273123,9.622952815,29.72788429,97.22922148,2023-04-29,2.281672143,91.70135806,6.769962336,A,13.43067832,4.242630412,Fresh,Cardboard,365.1133818,1.070012922,95.87377273,Truck,474.8904808,25.31167887,61.52436008,1,3.391879969,7534.304004,41.36310984,1.35497402,7.981026379,1.63126959,84.80684197,8.021622167,Mixed,91.90268337,68.78742465,30.3017507,729,1708,1026,Nelamangala Market,13.09724378,77.38941298
FarmAB00010,tomato,FarmAField1,31.61734358,21.16121584,189.8291463,294.4751672,8.545708165,6.150054302,98.44252807,2023-05-22,4.304543669,94.08091634,5.030118546,A,27.63811981,2.417966472,Drying,Aluminum,313.6145657,2.272445654,95.48098891,Truck,1976.670134,15.50103472,16.83958383,0,4.562980795,1103.591686,414.1241863,1.382559877,1.931971882,1.496916869,87.83874508,9.653102148,Packaging,85.45920761,18.92399761,96.65475166,831,2599,1380,KR Market,12.9675649,77.59959054
FarmAB00011,lettuce,FarmAField2,58.42651559,25.85080461,177.3360775,189.0012597,9.919331048,11.37685755,97.14027888,2023-06-01,2.220391625,70.78255784,5.882802389,A,24.31556819,15.87122477,Freezing,Plastic,313.9155915,0.829325072,95.27336374,Ship,935.3031613,40.82543315,48.01474375,0,4.559137684,2850.742483,153.2677241,0.966309756,0.322806615,1.162529961,96.4075658,9.601961401,Organic,85.31517339,66.01444434,62.81195312,466,1456,934,Yeshwanthpur Market,13.01349317,77.49655976
FarmAB00012,corn,FarmAField3,34.43563283,25.17628154,52.17872467,130.6715971,8.805806187,27.79348271,95.73785149,2023-06-12,7.743621578,88.28175167,6.141791105,B,11.62238618,6.042360775,Fresh,Cardboard,363.9517824,0.937047306,96.05326314,Train,1392.13476,44.1950609,35.05972629,0,3.456249932,2835.559174,227.5205327,0.575699727,3.289532144,0.648394891,84.78576628,8.208909036,Organic,86.30796759,70.41063322,93.06424764,673,1724,1024,Nelamangala Market,13.10360697,77.38126415
FarmAB00013,potato,FarmAField1,47.57346007,27.72665236,3.060908058,60.85019582,7.671547198,21.64789652,96.19838365,2023-06-16,6.957234175,92.73811277,4.038759055,B,21.13224594,4.377561369,Freezing,Cardboard,468.3276153,1.928023973,95.18449426,Air,324.0782868,40.91666462,63.61097165,1,0.022107331,4376.987383,20.7375311,0.88782609,1.040645359,1.282315305,84.53699369,9.153714762,Packaging,92.59312921,20.54812409,67.61050258,499,1487,850,KR Market,12.97214499,77.58955293
FarmAB00014,tomato,FarmAField2,38.06876809,20.00923637,186.6872616,281.1608326,9.465371911,1.442839319,96.23974771,2023-06-19,6.804618123,91.4340023,4.346404187,C,19.8937682,14.14074306,Canning,Plastic,402.1618729,0.587522438,97.26868312,Air,996.8999143,19.99976006,17.10184754,0,10.94017191,9805.650535,157.5125781,1.303537659,0.179407113,1.776598742,71.45704728,8.927963396,Packaging,96.54204375,69.61160235,30.72389618,804,2553,1340,Yeshwanthpur Market,13.01568,77.49476827
FarmAB00015,rice,FarmAField3,65.83054383,26.79741695,100.2079768,279.7789288,8.035247883,23.44543445,96.58927246,2023-06-24,5.778667538,94.11301181,4.111966942,A,15.02969785,12.74298181,Freezing,Cardboard,75.26124654,2.690873791,96.13531379,Truck,103.6966037,41.36997728,49.44692402,1,14.5026825,768.2752122,256.2893089,1.401774029,2.883414617,3.369971041,71.01243503,8.237418191,Mixed,94.42265172,79.40174975,37.00245241,547,1501,971,Nelamangala Market,13.10029025,77.38735855
FarmAB00016,lettuce,FarmAField1,49.01480893,34.57785717,107.8754897,113.247542,8.042857643,24.83822662,96.70715562,2023-06-25,3.297944138,89.00235196,4.704467025,C,14.17390198,13.03060289,Freezing,Plastic,433.7276089,1.56057157,98.29813923,Air,1035.63748,41.91229737,44.54264856,1,3.364402249,5235.139844,37.5262779,0.703472742,6.269906009,0.312824211,85.9836389,9.961136454,Mixed,93.82305537,60.87871817,55.04717771,477,1429,935,KR Market,12.9691304,77.58674955
FarmAB00017,potato,FarmAField2,52.53102288,24.73484306,136.7927539,223.8527808,7.095414044,22.51505774,98.19912809,2023-06-26,5.1095622,81.05746906,0.235155566,B,13.58901187,5.348997492,Fresh,Plastic,151.4935985,1.342808821,95.29696349,Train,1929.833944,38.04891805,22.67110343,0,9.945707877,1875.710352,250.6369074,0.566973612,4.52944553,1.052534698,82.70717978,8.429391775,Mixed,89.20343253,64.93387773,79.00148416,503,1519,906,Yeshwanthpur Market,13.02940987,77.49266879
FarmAB00018,potato,FarmAField3,57.82064346,33.12197575,123.1702329,68.85863677,8.646145928,23.98611393,96.397548,2023-06-30,5.583644435,77.79879976,3.164121359,A,20.42889458,5.420265233,Freezing,Aluminum,219.6113741,1.673460576,95.90540598,Air,799.2030903,41.81405765,11.56206326,1,11.1284449,9709.6978,464.2842081,1.377350453,2.502223914,4.045118201,94.33623145,8.13446836,Packaging,93.18230558,79.60906873,31.79825513,457,1505,957,Nelamangala Market,13.09193608,77.38686783
FarmAB00019,rice,FarmAField1,35.57325818,23.68788731,188.7783209,91.55385798,8.603270511,24.7539803,96.87292731,2023-07-16,5.150189005,78.01856851,4.849509708,B,16.06024841,5.195249966,Fresh,Glass,257.7797661,0.49810294,97.92098459,Truck,126.0422245,44.60725039,47.61478323,0,12.72638069,1221.704697,61.64267687,0.889404939,5.234736044,0.734609618,74.65970796,9.189694759,Mixed,90.50248499,52.38368754,57.97311661,504,1528,903,KR Market,12.97182054,77.59318353
FarmAB00020,lettuce,FarmAField2,54.17669517,22.00156815,188.8503194,104.2022766,8.067974453,5.592149604,97.49990395,2023-07-18,3.561400208,88.11056682,4.781788522,A,25.79657783,4.301299318,Canning,Aluminum,266.4077003,1.840419416,97.39523319,Truck,110.3637923,36.476144,53.70182207,0,6.339437955,4095.649923,384.5759568,1.041760964,1.856145442,1.713225733,70.7241782,9.477733354,Mixed,84.10876004,31.55204674,34.56249936,486,1548,937,Yeshwanthpur Market,13.01794513,77.50998556
FarmAB00021,tomato,FarmAField3,51.59364365,27.90206724,173.4397867,123.6234867,9.682651789,7.070752382,96.51090379,2023-07-19,5.091487546,88.6459253,6.343648757,A,21.7400654,13.45874978,Fresh,Glass,245.8311797,1.08930221,95.25796508,Train,806.5741819,18.10116499,24.09391406,0,4.543963585,7405.06135,210.7388162,1.468065812,0.115051569,4.323294609,83.02212427,8.064886892,Organic,83.96317899,68.62715839,81.57694046,753,2526,1362,Nelamangala Market,13.09703786,77.39442813
FarmAB00022,wheat,FarmAField1,38.12244899,28.37848119,127.2807195,298.9578438,7.386245195,19.01275691,98.34625925,2023-08-03,4.947118045,75.00897859,5.240074711,B,6.748290143,17.11230182,Fresh,Glass,471.8089824,2.691559023,98.50895783,Train,362.0486261,32.06697334,47.13828228,0,4.87942701,7075.088837,331.0351201,0.566564728,6.114827091,0.774626556,76.88687815,9.317435277,Mixed,85.63144813,53.01400443,46.67280938,515,1420,856,KR Market,12.97275165,77.59626108
FarmAB00023,lettuce,FarmAField2,67.71414282,32.2833513,160.1898589,224.231264,7.99029854,27.23598391,97.34981442,2023-08-05,7.978014655,91.70307034,7.937066531,A,21.0042056,14.76203192,Drying,Glass,367.7085534,0.50656262,98.50904705,Air,95.53658784,17.71772671,29.65916353,0,10.68932,4285.013505,137.515933,1.148318007,4.989944679,0.413684178,71.43881683,9.064583752,Organic,97.30525075,50.68367966,7.672282685,518,1512,958,Yeshwanthpur Market,13.02952451,77.50779587
FarmAB00024,rice,FarmAField3,53.95461866,19.60370536,135.4336685,146.0504578,7.964748294,9.485897469,96.17617872,2023-08-05,7.384616888,87.87310101,2.270836229,B,11.77868591,16.04977904,Freezing,Cardboard,334.0267907,1.521153312,96.32163202,Air,1524.616547,29.26400609,51.92448183,0,12.251692,3530.589263,88.15120865,0.574105423,6.098420996,2.422689975,91.01335032,8.206530018,Organic,90.40088197,27.75448889,16.60525215,544,1491,863,Nelamangala Market,13.10529124,77.39396497
FarmAB00025,potato,FarmAField1,57.79139732,24.9838676,114.6734083,234.2751765,7.276871759,17.64920027,97.8562368,2023-08-17,4.780284489,84.06875716,2.873208237,B,19.82029979,8.691170153,Canning,Aluminum,72.4289125,1.794337888,96.36162337,Truck,944.1198673,29.24872712,15.94506924,1,2.724209516,4036.362548,88.62668099,0.875468928,0.311504134,1.512097556,73.236197,8.345047754,Mixed,93.94420216,62.94339887,6.110466762,513,1559,968,KR Market,12.96670996,77.58295371
FarmAB00026,tomato,FarmAField2,65.21871356,26.44008398,25.70007065,278.8135854,8.443436182,20.4894619,97.11059092,2023-08-18,5.737624298,81.7883115,3.070777215,A,22.00329828,13.42744011,Fresh,Glass,456.7609986,0.100150805,98.95611343,Train,614.0273053,17.31034454,64.31505018,0,5.564115122,2716.335005,44.54105337,1.303814545,6.696957023,2.817041822,87.6412655,9.135948595,Organic,86.58461644,15.71670931,49.9302946,820,2409,1411,Yeshwanthpur Market,13.01125272,77.49483803
FarmAB00027,lettuce,FarmAField3,54.97416193,30.37108029,162.2408353,289.6756019,9.063354151,13.55845804,97.13782357,2023-08-25,6.487229625,83.58082014,3.726502456,A,10.77072973,7.730488568,Canning,Plastic,459.2255864,1.091079374,97.50470469,Train,1805.162207,27.20871869,22.11867175,0,13.52910295,2132.796093,100.9668854,0.933472233,4.9562096,4.019024452,78.15044275,8.592715227,Packaging,87.74659964,74.70009496,10.63372973,485,1483,896,Nelamangala Market,13.09864563,77.39043993
FarmAB00028,wheat,FarmAField1,41.82534743,15.87207544,164.1278951,64.46597444,8.534971041,21.41347365,96.92435179,2023-09-04,2.209190961,73.98114346,6.68798451,A,16.42146612,10.98458782,Drying,Cardboard,401.0958785,2.197905704,97.12526608,Train,276.4709724,18.88493346,27.74501914,0,12.1004028,4882.093006,335.4674986,1.497182354,4.507162806,0.685742441,75.03138546,9.876631457,Packaging,82.38574599,32.80764225,11.41399693,468,1513,894,KR Market,12.97546167,77.59917482
