BatchID,CropType,FarmLocation,SoilMoisture%,TemperatureC,Rainfallmm,Fertilizerkgperha,Yieldtonnesperha,PestRiskScore,HarvestRobotUptime%,HarvestDate,StorageTemperatureC,Humidity%,SpoilageRate%,GradingScore,PredictedShelfLifedays,StorageDays,ProcessType,PackagingType,PackagingSpeedunitspermin,DefectRate%,MachineryUptime%,TransportMode,TransportDistancekm,FuelUsageLper100km,DeliveryTimehr,DeliveryDelayFlag,SpoilageInTransit%,RetailInventoryunits,SalesVelocityunitsperday,DynamicPricingIndex,WastePercentage%,HouseholdWastekg,RecipeRecommendationAccuracy%,SatisfactionScore010,WasteType,SegregationAccuracy%,UpcyclingRate%,BiogasOutputm3,minprice,maxprice,modalprice,marketname,latitude,longitude
FarmBB00001,tomato,FarmBField1,66.62178474,29.70128694,139.2152082,259.5175758,5.611380337,39.15785826,94.94796689,2023-01-02,2.700802427,86.48157499,9.406828675,C,27.54502704,2.211798919,Freezing,Aluminum,351.0470262,5.633518946,80.61909045,Ship,528.1786921,48.00036079,49.50060472,0,6.140209639,5070.213147,44.25143406,0.790478349,7.125342045,4.6895168,84.49022194,7.852566617,Packaging,89.36217014,33.35385968,32.01831742,763,2598,1343,KR Market,12.96855888,77.59833254
FarmBB00002,wheat,FarmBField2,40.64869313,28.88094993,47.95324678,110.7708517,4.79027535,27.09231023,81.5693916,2023-01-09,3.476686434,85.63894739,16.24668214,C,15.30121931,8.25401005,Fresh,Plastic,447.2747952,6.134425675,93.65566024,Ship,1016.910712,26.24042129,38.81273576,0,13.62943078,329.6363378,64.6515301,0.952450278,12.43469082,1.981704448,76.39472934,6.187596128,Mixed,86.10168009,10.95475157,10.27989739,543,1591,860,Yeshwanthpur Market,13.02311369,77.5010299
FarmBB00003,rice,FarmBField3,46.97698861,16.1449386,54.45289782,236.9974407,4.101408465,33.25814163,86.56749227,2023-01-09,6.964025405,85.25785926,15.04901156,C,21.99506284,15.57801855,Drying,Cardboard,459.2115763,4.091709689,87.18519775,Air,1516.127353,33.25706569,34.75359824,0,10.61393252,5106.497044,156.2272745,0.919969253,9.478248011,3.660896116,80.24672372,6.537192329,Mixed,85.75631283,78.92338123,37.60870106,451,1482,974,Nelamangala Market,13.09681529,77.38076489
FarmBB00004,potato,FarmBField1,50.87354601,24.43779612,86.24736615,226.6727609,6.51195909,32.32098353,82.81772981,2023-01-10,3.917312458,81.30631105,17.88019944,B,24.28572013,12.24332607,Freezing,Aluminum,293.7889791,5.857953885,92.62811251,Air,1552.37152,17.74358422,32.88533354,0,12.20912846,9919.497503,183.7573774,1.285528914,10.19527038,2.147588479,70.88098617,7.079807565,Mixed,82.57199653,10.72847684,40.29815734,517,1534,839,KR Market,12.96908969,77.5904786
FarmBB00005,corn,FarmBField2,67.35091015,26.49321511,176.5959084,209.3615285,4.448463174,37.38492769,94.32858874,2023-01-21,5.503121274,79.59969217,7.505702062,B,14.86509494,12.13972754,Freezing,Cardboard,171.0853635,6.282194044,93.79113771,Train,1457.508823,40.06020622,42.78567939,0,14.08035804,559.0497049,454.5746574,0.775631571,14.37390553,4.929894957,89.8272489,7.664182658,Organic,82.49815862,25.47809702,13.19823959,676,1880,1122,Yeshwanthpur Market,13.0129527,77.49471973
FarmBB00006,wheat,FarmBField3,65.80795952,20.63808809,19.15420266,197.7599383,5.809101033,60.0917287,84.79343149,2023-02-03,3.705741366,78.78316412,17.91161006,B,9.969290605,5.727956424,Canning,Plastic,232.7340203,5.784048184,94.37573389,Truck,902.3529218,45.33012062,2.921181193,0,12.47819442,2549.399296,472.1552455,1.16214949,9.245340095,2.617904541,93.07403876,6.515281517,Organic,83.27203574,58.33269212,44.00742342,531,1419,897,Nelamangala Market,13.10132377,77.39739496
FarmBB00007,lettuce,FarmBField1,41.8256289,25.73837315,151.6873341,258.101868,6.990307272,20.26337801,81.31289522,2023-02-15,3.815529133,76.12103387,7.256095206,C,24.4674049,1.130001387,Fresh,Aluminum,492.0185562,3.242147217,93.24708205,Air,849.357406,36.35716737,51.26833065,0,1.917291555,977.1954649,401.27672,1.253797976,10.27726893,4.627917142,86.50411058,7.887700088,Organic,91.03300817,26.23594874,48.60895628,543,1485,956,KR Market,12.96193115,77.58687837
FarmBB00008,rice,FarmBField2,66.2567501,32.01116073,173.905338,255.6764238,6.778461038,34.50615391,90.1718174,2023-02-17,7.649642588,72.89057157,17.15242574,B,25.8980878,1.70359175,Fresh,Glass,354.8540114,4.040167693,88.08791112,Ship,348.0535028,26.74474326,2.35560511,0,3.329801107,2660.941992,235.6089868,0.814597626,7.194101356,2.503414184,95.57649148,7.50958496,Packaging,92.94291308,54.99896135,69.72892271,451,1512,956,Yeshwanthpur Market,13.01392342,77.50153921
FarmBB00009,lettuce,FarmBField3,55.58011919,15.77762396,100.1526641,229.4464418,5.061191469,63.59267299,83.48002059,2023-02-24,5.493849369,84.46629948,16.20538106,B,20.58909192,6.918717242,Canning,Plastic,285.971575,5.656927506,83.75933433,Air,96.66233452,29.39932373,21.03235056,0,1.153817971,6230.764957,49.11371315,1.341446801,5.110369961,3.714889472,98.42178103,6.759008802,Mixed,80.93501416,68.86056815,65.00475683,518,1480,911,Nelamangala Market,13.1038226,77.38555801
FarmBB00010,lettuce,FarmBField1,66.92422736,31.23634537,34.03262569,292.3268566,5.03439929,59.7216376,86.62583686,2023-03-05,4.266896165,85.39256213,13.68821419,B,26.99747246,18.64778056,Freezing,Aluminum,167.4409898,5.184857822,88.43926623,Train,612.0513592,39.64523645,22.3304443,0,7.868738078,4964.276195,398.9252988,0.612215271,12.37839224,1.849281524,89.56913872,6.510191321,Organic,94.96560349,45.94887971,84.33000474,543,1495,969,KR Market,12.96188912,77.59350925
FarmBB00011,corn,FarmBField2,40.51306333,29.84432971,181.2098855,247.7230705,6.73589867,20.80732224,90.04298407,2023-03-24,2.878557419,82.49350753,16.28895152,A,6.599337089,2.975881544,Freezing,Plastic,117.4807884,6.408660704,91.48392392,Air,51.85602941,32.91010255,50.56139301,1,1.446895345,2173.301629,222.8989597,0.953786625,8.100737714,1.746458987,94.16164673,6.755968515,Organic,88.43517416,19.25703411,86.94725461,745,1742,1112,Yeshwanthpur Market,13.0236618,77.5077527
