BatchID,CropType,FarmLocation,SoilMoisture%,TemperatureC,Rainfallmm,Fertilizerkgperha,Yieldtonnesperha,PestRiskScore,HarvestRobotUptime%,HarvestDate,StorageTemperatureC,Humidity%,SpoilageRate%,GradingScore,PredictedShelfLifedays,StorageDays,ProcessType,PackagingType,PackagingSpeedunitspermin,DefectRate%,MachineryUptime%,TransportMode,TransportDistancekm,FuelUsageLper100km,DeliveryTimehr,DeliveryDelayFlag,SpoilageInTransit%,RetailInventoryunits,SalesVelocityunitsperday,DynamicPricingIndex,WastePercentage%,HouseholdWastekg,RecipeRecommendationAccuracy%,SatisfactionScore010,WasteType,SegregationAccuracy%,UpcyclingRate%,BiogasOutputm3,minprice,maxprice,modalprice,marketname,latitude,longitude
FarmDB00001,lettuce,FarmDField1,30.9005033,29.86654851,151.7215608,236.1558168,7.118457791,46.36681056,91.23733829,2023-01-20,2.305611099,82.88556655,9.219585174,B,19.96373322,19.82517916,Canning,Glass,404.8387954,1.857340286,94.87780263,Train,177.2382646,42.37768746,46.86762475,0,2.188182766,4844.962043,346.6246697,1.015227253,6.180010367,4.568860486,76.07729554,7.414703763,Mixed,82.33771967,64.13203678,63.95962175,493,1537,871,KR Market,12.96458825,77.58178567
FarmDB00002,lettuce,FarmDField2,50.483574,19.11565269,29.6764273,101.8239065,7.039495135,18.35558176,94.07046561,2023-02-04,5.627319045,88.20048962,3.467978854,A,10.84622609,6.377162958,Canning,Aluminum,440.8542517,1.349909111,92.96186074,Ship,1890.869968,47.16071617,56.59325749,0,3.816044308,5292.660284,148.7304945,1.406975098,5.868841049,4.387478818,98.75945152,7.554992509,Organic,84.0872999,35.14801948,80.95955833,479,1455,882,Yeshwanthpur Market,13.02101511,77.50858447
FarmDB00003,tomato,FarmDField3,50.82670558,22.42667568,137.9943596,150.3134091,7.2629823,24.28810182,93.96206253,2023-02-16,7.590037174,87.45310455,4.200665552,A,18.79798668,4.917860453,Canning,Cardboard,399.4770483,3.627257421,96.60652334,Ship,738.9587306,36.54644481,18.75802409,0,1.942417059,3342.799316,154.4566421,0.639221974,8.972004431,1.468771698,86.45720892,8.099385291,Packaging,93.55864494,48.88550413,42.76315968,840,2552,1473,Nelamangala Market,13.10431648,77.38039064
FarmDB00004,wheat,FarmDField1,59.2051088,26.04145645,11.8924679,117.1491445,6.79350201,27.20134308,90.55589088,2023-02-23,7.8441728,76.98773795,5.987267946,A,12.38418628,5.248131472,Freezing,Glass,481.6228286,2.508985727,94.85425452,Air,1025.708559,44.92548314,51.29214268,0,6.793730656,4040.579987,275.8645953,0.9187827,9.858269243,0.723261771,74.23653057,8.242481659,Packaging,82.47223964,77.56646227,94.72003061,489,1536,949,KR Market,12.96276811,77.58812409
FarmDB00005,potato,FarmDField2,40.62924154,15.92942427,111.2817545,153.6497612,7.063502888,36.11526165,92.08129189,2023-02-27,2.544709463,88.77496908,4.390319832,C,14.97487483,15.2849797,Canning,Cardboard,273.1318184,4.711635995,91.22242673,Truck,1507.021405,33.10374682,69.94746921,0,14.07074716,1999.052696,57.18244341,0.949837292,4.072720888,0.286539109,81.9385128,7.72484231,Organic,87.79316834,23.79713063,59.50871893,503,1496,924,Yeshwanthpur Market,13.02666826,77.49500978
FarmDB00006,potato,FarmDField3,43.80887836,23.93973893,195.0053635,101.4939671,6.554644261,31.45549593,96.36960568,2023-03-02,4.503027128,83.92268457,2.010027278,B,5.665107449,3.256900236,Canning,Aluminum,272.7555719,3.180565476,96.44387292,Truck,753.690636,34.78366754,47.90548711,0,11.61868814,4156.376843,420.0376317,0.582414744,5.563824695,2.187411704,92.4265234,8.490316418,Packaging,85.65396966,11.45961947,28.56330729,469,1460,846,Nelamangala Market,13.09397618,77.39918055
FarmDB00007,lettuce,FarmDField1,62.37965311,21.1961433,133.1517433,200.0611746,7.888184492,34.25260902,95.17252156,2023-03-15,6.474695539,76.91040942,6.50283084,A,5.132694521,4.164924704,Fresh,Cardboard,267.770694,4.126089402,94.12306943,Air,1953.188041,42.03700165,63.64354752,0,0.83958618,8991.443275,34.85653051,0.978252378,5.537136898,2.524170491,96.62068557,7.512019769,Packaging,85.49137024,23.60370066,67.93845988,470,1563,947,KR Market,12.97764933,77.59208844
FarmDB00008,tomato,FarmDField2,56.3119371,19.67947555,92.93083521,255.4442463,7.359224235,10.53386022,92.78740779,2023-03-22,7.740198466,84.9900391,5.789034483,B,28.46639044,2.329031782,Freezing,Plastic,239.9207413,1.090460493,93.21732743,Train,96.12101713,46.72283674,44.08575479,0,9.180384643,1565.982987,425.7090302,1.026930733,4.63351685,2.929495981,76.78624115,8.424285861,Packaging,92.96148348,66.77315514,47.99505162,779,2501,1380,Yeshwanthpur Market,13.0104712,77.50713915
FarmDB00009,rice,FarmDField3,35.68626008,32.77120081,111.7624795,151.7472948,6.878078064,32.59119225,91.91037189,2023-03-30,4.672597725,87.11724172,10.44382261,B,15.01990643,10.51185901,Drying,Aluminum,380.3317151,4.077998376,96.45768749,Air,893.6732834,35.85530646,27.19926375,0,5.203312339,1120.090342,475.1310358,1.077153317,8.488765615,4.758836597,89.27988721,8.449808555,Organic,91.41620936,59.3408682,78.371303,531,1551,909,Nelamangala Market,13.10686954,77.3975451
FarmDB00010,wheat,FarmDField1,62.63707896,20.35343697,194.837796,277.8944408,6.347772174,26.44000114,94.02513902,2023-05-02,5.111929418,85.13170763,5.612997656,B,11.04436431,10.07862628,Freezing,Cardboard,447.937954,2.893090803,92.98778703,Air,108.6738931,15.15791982,63.4787746,0,10.20240396,6940.138465,272.9566256,1.141407579,7.402757603,1.556949325,86.49592661,8.243623424,Mixed,89.89124737,74.85503761,88.90059836,457,1417,830,KR Market,12.9657753,77.58773138
